year,state,state_abv,total_ballots_counted,vap,noncitizen_pct,ineligible_prison,ineligible_probation,ineligible_parole,ineligible_felons_total,eligible_overseas,vep,vep_turnout_rate,vap_turnout_rate,election_type
2020,Kentucky,KY,2150954,3499169,0.025,18433,28839,14429,71129,NA,3339511,0.6441000000000001,0.6147,presidential
2020,Louisiana,LA,2169401,3552258,0.028999999999999998,26851,14507,21566,67667,NA,3382286,0.6414,0.6107,presidential
2020,Maine,ME,828305,1127932,0.019,0,0,0,0,NA,1106276,0.7486999999999999,0.7344000000000002,presidential
2020,Maryland,MD,3066945,4820237,0.081,14918,0,0,14918,NA,4416326,0.6945,0.6363,presidential
2020,Massachusetts,MA,3658005,5638722,0.08900000000000001,5993,0,0,5993,NA,5129755,0.7131000000000001,0.6486999999999999,presidential
2020,Michigan,MI,5579317,7907056,0.033,33246,0,0,33246,NA,7615249,0.7326999999999999,0.7056,presidential
2020,Minnesota,MN,3292997,4408498,0.04,7681,44332,7359,73865,NA,4157411,0.7921,0.747,presidential
2020,Mississippi,MS,1325000,2265253,0.013999999999999999,17569,15092,10510,48106,NA,2185433,0.6063000000000001,0.5849,presidential
2020,Missouri,MO,3026028,4800088,0.023,22890,20149,20729,70356,NA,4620290,0.6549,0.6304,presidential
2020,Montana,MT,612075,873659,0.013999999999999999,3910,0,0,3910,NA,857955,0.7134,0.7006,presidential
2020,Nebraska,NE,966920,1484568,0.047,5071,5956,1156,14130,NA,1400069,0.6906,0.6513,presidential
2020,Nevada,NV,1407754,2455546,0.10300000000000001,10455,0,0,10455,NA,2191188,0.6425,0.5733,presidential
2020,New Hampshire,NH,814499,1132908,0.026000000000000002,2158,0,0,2158,NA,1101294,0.7396,0.7189,presidential
2020,New Jersey,NJ,4635585,7261675,0.11199999999999999,11896,0,0,11896,NA,6435019,0.7204,0.6384,presidential
2020,New Mexico,NM,928230,1649222,0.06,5377,6075,2725,16163,NA,1534600,0.6049,0.5628,presidential
2020,New York,NY,8690139,15787812,0.10300000000000001,32574,0,43979,76553,NA,14081957,0.6171,0.5504,presidential
2020,North Carolina,NC,5545848,8284274,0.054000000000000006,28406,0,0,28406,NA,7811002,0.71,0.6694000000000001,presidential
2020,North Dakota,ND,364251,594772,0.027000000000000003,1384,0,0,1384,NA,577567,0.6307,0.61240000000000006,presidential
2020,Ohio,OH,5974121,9184163,0.025,44608,0,0,44608,NA,8906277,0.6708,0.6505,presidential
2020,Oklahoma,OK,1565000,3040979,0.040999999999999995,22071,11974,2237,40197,NA,2875494,0.5443,0.5146000000000001,presidential
2020,Oregon,OR,2413890,3405290,0.055,12753,0,0,12753,NA,3204224,0.7533,0.7089,presidential
2020,Pennsylvania,PA,6958551,10363451,0.036000000000000004,38938,0,0,38938,NA,9950392,0.6993,0.6714999999999999,presidential
2020,Rhode Island,RI,522488,890532,0.068,2227,0,0,2227,NA,828194,0.6309,0.5867,presidential
2020,South Carolina,SC,2533010,4087762,0.033,15787,13722,4638,38633,NA,3914642,0.6471000000000001,0.6197,presidential
2020,South Dakota,SD,427529,678680,0.022000000000000002,3176,3926,3673,12059,NA,651554,0.6561999999999999,0.6299,presidential
2020,Tennessee,TN,3065000,5439926,0.035,22205,31486,12407,76392,NA,5174225,0.5924,0.5634,presidential
2020,Texas,TX,11350000,22157381,0.122,128653,173864,110437,469794,NA,18982171,0.5979000000000001,0.5122000000000001,presidential
2020,Utah,UT,1515845,2402151,0.059000000000000004,5249,0,0,5249,NA,2255175,0.6722,0.631,presidential
2020,Vermont,VT,370968,531104,0.02,0,0,0,0,NA,520641,0.7125,0.6984999999999999,presidential
2020,Virginia,VA,4523142,6785517,0.06,30620,33426,2017,76990,NA,6300717,0.7179000000000001,0.6666,presidential
2020,Washington,WA,4116894,6079926,0.08800000000000001,15056,37534,14536,79397,NA,5465496,0.7533,0.6771,presidential
2020,West Virginia,WV,802726,1430595,0.009000000000000001,6031,3246,3682,14021,NA,1403699,0.5719000000000001,0.5611,presidential
2020,Wisconsin,WI,3310000,4621234,0.031,19846,19960,23174,69506,NA,4410780,0.7504000000000001,0.7162999999999999,presidential
2020,Wyoming,WY,278503,448142,0.025,2034,2822,954,6733,NA,430161,0.6474000000000001,0.6214999999999999,presidential
2018,Alabama,AL,1721906,3802178,0.023,25907,29068,10266,65241,NA,3649487,0.4718,0.4529000000000001,midterm
2018,Alaska,AK,285009,552149,0.0351,4295,1182,1348,6825,NA,525944,0.5419,0.5162,midterm
